file,line,category,text_repr
claude_memory/brain.py,144,comment,'# ?\x80?\x80 遺꾩꽍媛\x80 ?깃낵 ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,148,string/docstring,'    留ㅼ씪 postmortem ???몄텧'
claude_memory/brain.py,150,string/docstring,"'    hit: True=?곸쨷, False=誘몄쟻以?'"
claude_memory/brain.py,151,string/docstring,'    recent_days: 理쒓렐 30??湲곕줉 由ъ뒪??'
claude_memory/brain.py,163,comment,'    # 理쒓렐 7??'
claude_memory/brain.py,170,comment,'    # 理쒓렐 30??'
claude_memory/brain.py,189,comment,'# ?\x80?\x80 紐⑤뱶 ?깃낵 ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,209,comment,'# ?\x80?\x80 ?꾨왂 ?깃낵 ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,288,string/docstring,"'        lessons.append(f""{strategy} 吏꾩엯 ?ㅽ뙣 ?⑦꽩: {reason}"")'"
claude_memory/brain.py,290,string/docstring,"'        lessons.append(f""泥?궛 ?ㅽ뙣 ?⑦꽩: {reason}"")'"
claude_memory/brain.py,294,string/docstring,"'        lessons.append(f""?섏씡 泥?궛 ?좏슚 ?⑦꽩: {reason}"")'"
claude_memory/brain.py,410,comment,"'            existing[""examples""] = existing[""examples""][-5:]  # 理쒓렐 5媛쒕쭔'"
claude_memory/brain.py,413,comment,'        # ?좉퇋 ?⑦꽩 異붽?'
claude_memory/brain.py,436,comment,'# ?\x80?\x80 ?쒕떇 ?⑦꽩 ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,463,comment,'# ?\x80?\x80 理쒓렐 ?쇰퀎 湲곕줉 異붽? ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,476,string/docstring,"'      ""bull_reason"": ""HBM4 怨꾩빟 二쇨? 寃ъ씤"",'"
claude_memory/brain.py,477,string/docstring,"'      ""bear_reason"": ""愿\x80??諛쒗몴 ?곌린濡?誘몄뒪"",'"
claude_memory/brain.py,485,comment,'    # 媛숈? ?좎쭨 ?덉퐫?쒓? ?대? ?덉쑝硫???뼱?\x80 (backfill 以묐났 諛⑹?)'
claude_memory/brain.py,498,comment,'# ?\x80?\x80 beliefs ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,502,string/docstring,'    Claude postmortem??諛섑솚??beliefs ?낅뜲?댄듃'
claude_memory/brain.py,505,string/docstring,"'      ""market_regime"": ""媛뺤꽭??,'"
claude_memory/brain.py,508,string/docstring,"'      ""best_strategy"": ""紐⑤찘?\x80"",'"
claude_memory/brain.py,509,string/docstring,"'      ""new_lesson"": ""愿\x80???⑤룆 寃쎄퀬???좊ː????쓬"",'"
claude_memory/brain.py,510,string/docstring,"'      ""add_avoid"": ""CAUTIOUS 怨쇰룄 ?ъ슜"",'"
claude_memory/brain.py,541,comment,'# ?\x80?\x80 媛쒕퀎 遺꾩꽍媛\x80 留욎땄 ?쇰뱶諛??앹꽦 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,545,string/docstring,"'    """"""理쒓렐 ?좎쭨遺\x80????닚?쇰줈 ?곗냽 target 寃곌낵 ?잛닔 怨꾩궛.""""""'"
claude_memory/brain.py,765,string/docstring,'    R1?뭃2 ?좊줎 寃곌낵瑜?brain.json???\x80??'
claude_memory/brain.py,793,comment,"'        ""outcome"":           None,   # postmortem ??梨꾩?'"
claude_memory/brain.py,854,string/docstring,'    postmortem ???대떦 ???좊줎 寃곌낵媛\x80 留욎븯?붿? ?낅뜲?댄듃'
claude_memory/brain.py,855,string/docstring,'    correct: True=?⑹쓽 諛⑺뼢???ㅼ젣 寃곌낵?\x80 ?쇱튂'
claude_memory/brain.py,866,comment,'# ?\x80?\x80 hold_advisor ?깃낵 ?꾩쟻 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,873,comment,"'    extra_pnl_pct: float,    # HOLD: ?몃젅???댄썑 異붽? ?섏씡%, SELL: 利됱떆 ?ㅽ쁽 ?섏씡%'"
claude_memory/brain.py,876,string/docstring,'    TP ?꾨떖 ??hold_advisor 寃곗젙 寃곌낵瑜?brain.json???꾩쟻.'
claude_memory/brain.py,877,string/docstring,'    - HOLD ??泥?궛媛\x80 > tp_price : success=True'
claude_memory/brain.py,878,string/docstring,'    - SELL ??TP 利됱떆 ?ㅽ쁽 ?먯껜媛\x80 ?깃났'
claude_memory/brain.py,896,comment,'        # ?꾩쟻 ?됯퇏 異붽??섏씡'
claude_memory/brain.py,918,comment,'# ?\x80?\x80 ?щ줈?ㅻ쭏耳??낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,928,comment,'# ?\x80?\x80 correction_guide ?낅뜲?댄듃 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
claude_memory/brain.py,974,string/docstring,"""踰꾩쟾:      v{meta['version']}"""
claude_memory/brain.py,975,string/docstring,"""留덉?留??낅뜲?댄듃: {meta['last_updated']}"""
claude_memory/brain.py,976,string/docstring,"""?숈뒿?쇱닔:  援?궡 {meta['trained_days_kr']}??/ 誘멸뎅 {meta['trained_days_us']}??"""
dashboard/_tmp_analytics_scripts.js,2,comment,'// ?\x80?\x80 怨듯넻 ?곹깭 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
dashboard/_tmp_analytics_scripts.js,58,comment,'// ?\x80?\x80 ?щ㎎???\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
dashboard/_tmp_analytics_scripts.js,112,comment,'// ?\x80?\x80 ?쒓퀎 ?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80?\x80'
